KEEP,THEMES,mid,member,year,type,title,venue,authors,doi,published_version
,general,braun-eduard,Eduard Braun,2014,article,Critical Reflections on Rothbard’s Concept of Gross Investment,Journal des Économistes et des Études Humaines 20(1),Eduard Braun,10.1515/jeeh-2013-0001,
,general,kraemer-hagen,Hagen Krämer,2025,article,Industriepolitik in der sozial-ökologischen transformation Norddeutschlands,,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2024,article,Sozialpartnerschaft und Mitarbeiterwissen im Dekarbonisierungsprozess von Industrieunternehmen,Vierteljahreshefte zur Arbeits- und Wirtschaftsforschung 1(4),Elena Ernst · Hagen Krämer,10.3790/vaw.2024.1454906,
,general,kraemer-hagen,Hagen Krämer,2023,chapter,Achieving Sustainable and Inclusive Growth: A New Social Structure for Decent Work,"Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00019,
x,general,kraemer-hagen,Hagen Krämer,2023,book,"Capitalism, Inclusive Growth, and Social Protection",Edward Elgar Publishing,Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077,
,general,kraemer-hagen,Hagen Krämer,2023,chapter,Conclusions and Outlook,"Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00020,
,general,kraemer-hagen,Hagen Krämer,2023,chapter,External Macroeconomic Imbalances: Causes and Consequences,"Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00015,
,general,kraemer-hagen,Hagen Krämer,2023,chapter,Financialization,"Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00014,
,general,kraemer-hagen,Hagen Krämer,2023,chapter,General Introduction,"Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00008,
,general,kraemer-hagen,Hagen Krämer,2023,chapter,"Increasing Inequality, Financialization and Macroeconomic Instability: A Three Act Tragedy","Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00016,
,general,kraemer-hagen,Hagen Krämer,2023,chapter,Index,"Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00021,
,distribution,kraemer-hagen,Hagen Krämer,2023,chapter,"Inequality in the Distribution ofIncome and Wealth: Trends, Drivers and Impacts","Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00013,
,evolutionary,kraemer-hagen,Hagen Krämer,2023,chapter,"Innovation, Digital Capitalism and Productivity Growth","Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00017,
,"keynesian,marxian",kraemer-hagen,Hagen Krämer,2023,chapter,"The Marx-Keynes-Schumpeter System, Part I: Long Waves and Short Cycles in the Capitalist Growth Record","Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00010,
,"keynesian,marxian",kraemer-hagen,Hagen Krämer,2023,chapter,"The Marx-Keynes-Schumpeter System, Part II: Explaining the Goodwin Pattern","Capitalism, Inclusive Growth, and Social Protection",Hagen M. Krämer · Christian R. Proaño · Mark Setterfield,10.4337/9781786433077.00011,
,general,kraemer-hagen,Hagen Krämer,2023,article,"Deindustrialisierung, Transformation und eine moderne Industriepolitik",Wirtschaftsdienst 102(12),Arno Brandt · Hagen Krämer,10.1007/s10273-022-3337-7,
,general,kraemer-hagen,Hagen Krämer,2023,article,"Revisiting Baumol’s Disease: Structural Change, Productivity Slowdown and Income Inequality",Intereconomics 58(6),Jochen Hartwig · Hagen M. Krämer,10.2478/IE-2023-0066,
,general,kraemer-hagen,Hagen Krämer,2023,article,Schuldentragfähigkeit mit impliziten Staatsschulden: Replik und Erwiderung,Wirtschaftsdienst 103(5),Hagen Krämer · Carl Christian von Weizsäcker,10.2478/WD-2023-0102,
x,econ_history,kraemer-hagen,Hagen Krämer,2023,article,"The gypsy economist. The life and times of Colin Clark,",The European Journal of the History of Economic Thought 30(1),Hagen M. Krämer,10.1080/09672567.2022.2138898,
,econ_history,kraemer-hagen,Hagen Krämer,2023,article,What are services? Misconceptions and neglected insights from the productivity controversy in the classical period,The European Journal of the History of Economic Thought 30(6),Hagen M. Krämer,10.1080/09672567.2023.2292804,
,general,kraemer-hagen,Hagen Krämer,2023,article,Zur Rolle industrieller Beziehungen in der sozial-ökologischen Transformation,Vierteljahrshefte zur Wirtschaftsforschung 92(4),Arno Brandt · Hagen Krämer,10.3790/VJH.2023.334387,
,evolutionary,kraemer-hagen,Hagen Krämer,2022,article,Die sozial-ökologische Transformation: Leitlinie einer zukunftsfähigen Innovationspolitik in Baden-Württemberg,,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2022,article,Ursachen und Folgen der »Großen Divergenz« – Replik auf Christoph Deutschmann,Leviathan 50(2),Carl Christian von Weizsäcker · Hagen Krämer,10.5771/0340-0425-2022-2-356,
x,general,kraemer-hagen,Hagen Krämer,2021,article,"On capital, saving, and investment in the twenty-first century: a reply to Hein",European Journal of Economics and Economic Policies: Intervention 18(3),Carl Christian von Weizsäcker · Hagen M. Krämer,10.4337/EJEEP.2021.03.05,
,general,kraemer-hagen,Hagen Krämer,2021,book,Saving and Investment in the Twenty-First Century,Springer International Publishing,Carl Christian von Weizsäcker · Hagen M. Krämer,10.1007/978-3-030-75031-2,
,general,kraemer-hagen,Hagen Krämer,2021,article,Wirtschaftspolitische Beratung in der Krise,,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2020,article,Sparen und Investieren im 21. Jahrhundert: Das Ende der Kapitalknappheit,Wirtschaftsdienst 100(8),Carl Christian von Weizsäcker · Hagen Krämer,10.1007/S10273-020-2711-6,
,distribution,kraemer-hagen,Hagen Krämer,2020,article,Verteilungspolitische Interventionen,List Forum für Wirtschafts- und Finanzpolitik 46(2),Hagen Krämer,10.1007/S41025-020-00195-Z,
,general,kraemer-hagen,Hagen Krämer,2019,article,"Digitalisierung, Monopolbildung und wirtschaftliche Ungleichheit",Wirtschaftsdienst 99(1),Hagen Krämer,10.1007/S10273-019-2394-Z,
,general,kraemer-hagen,Hagen Krämer,2019,article,Sparen und Investieren im 21. Jahrhundert,,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2019,book,Sparen und Investieren im 21. Jahrhundert,Springer Fachmedien Wiesbaden,Carl Christian von Weizsäcker · Hagen Krämer,10.1007/978-3-658-27363-7,
,general,kraemer-hagen,Hagen Krämer,2019,article,The ‘Growth Disease’ at 50 – Baumol after Oulton,Structural Change and Economic Dynamics 51,Jochen Hartwig · Hagen Krämer,10.1016/J.STRUECO.2019.02.006,
,general,kraemer-hagen,Hagen Krämer,2017,article,50 Jahre Baumol‘sche Kostenkrankheit,Wirtschaftsdienst 97(11),Jochen Hartwig · Hagen Krämer,10.1007/s10273-017-2216-0,
x,general,kraemer-hagen,Hagen Krämer,2015,article,Income inequality and top incomes: some recent empirical developments with a focus on Germany,International Review of Applied Economics 29(6),Christina Anselmann · Hagen M. Krämer,10.1080/02692171.2015.1078780,
,smith,kraemer-hagen,Hagen Krämer,2014,article,The greatest Economists: Adam Smith,Jahrbücher für Nationalökonomie und Statistik,Hagen Krämer,,
,distribution,kraemer-hagen,Hagen Krämer,2014,article,Verteilungsgerechtigkeit in einer sozialen Marktwirtschaft,,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2013,article,Spitzeneinkommen zwischen ökonomischem und normativem Marktversagen : Marktorientierte und soziale Legitimation von Topmanager-Gehältern,,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2012,article,"""Denn wer da hat, dem wird gegeben""",,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2012,article,"Completing the bathtub? The development of top incomes in Germany, 1907 - 2007",,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2012,article,Wer wird Millionär?,,Hagen Krämer,,
,distribution,kraemer-hagen,Hagen Krämer,2011,article,Die Entwicklung der funktionalen Einkommensverteilung und ihrer Einflussfaktoren in ausgewählten Industrieländern 1960-2010,,Hagen Krämer,,
,keynesian,kraemer-hagen,Hagen Krämer,2011,article,Keynes 2.0,,Hagen Krämer,,
,smith,kraemer-hagen,Hagen Krämer,2010,article,"Classics of Economic Thinking, Vol 1, From Adam Smith to Alfred Marshall",European Journal of Economics and Economic Policies: Intervention,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2010,article,"Classics of Economic Thinking, Vol 2, From Vilfredo Pareto to Amartya Sen",European Journal of Economics and Economic Policies: Intervention,Hagen Krämer,,
,distribution,kraemer-hagen,Hagen Krämer,2010,article,Dienstleistungen: Motor für Wachstum und Beschäftigung in Deutschland?,,Hagen Krämer,,
,distribution,kraemer-hagen,Hagen Krämer,2010,article,The alleged stability of the labour share of income in macroeconomic theories of income distribution,,Hagen Krämer,,
,econ_history,kraemer-hagen,Hagen Krämer,2009,article,History of economic Thinking. A brief Introduction,European Journal of Economics and Economic Policies: Intervention,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2009,article,Ökonomische Aspekte des Glücks,,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,2009,article,Wen beglückt das BIP?,,Hagen Krämer,,
,distribution,kraemer-hagen,Hagen Krämer,2006,article,The notion of the constant wage share in income-distribution theories,Economic Development and Social Change: Historical Roots and Modern Perspectives,Hagen Krämer,,
,distribution,kraemer-hagen,Hagen Krämer,1999,article,Dienstleistungen: Motor für Wachstum und Beschäftigung in Deutschland?,,Hagen Krämer,,
,distribution,kraemer-hagen,Hagen Krämer,1996,article,"Bowley's law, technischer Fortschritt und Einkommensverteilung",,Hagen Krämer,,
,distribution,kraemer-hagen,Hagen Krämer,1994,article,"Technischer Fortschritt, Verteilung und die Meinhold-Formel",,Hagen Krämer,,
,general,kraemer-hagen,Hagen Krämer,1994,article,Unproduktive Arbeit und der productivity slowdown,,Hagen Krämer,,
,general,wagner-helmut,Helmut Wagner,2025,chapter,An Overview of China’s Challenges and Reform Development,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-48039-4_6,
x,general,wagner-helmut,Helmut Wagner,2025,book,China: Quo Vadis?,Springer Fachmedien Wiesbaden,Helmut Wagner,10.1007/978-3-658-46816-3,
,general,wagner-helmut,Helmut Wagner,2025,book,China: Quo Vadis?,Springer Fachmedien Wiesbaden,Helmut Wagner,10.1007/978-3-658-48039-4,
,general,wagner-helmut,Helmut Wagner,2025,chapter,Chinas wirtschaftspolitische Herausforderungen der nächsten Jahr(zehnt)e,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-46816-3_4,
,general,wagner-helmut,Helmut Wagner,2025,chapter,China’s Economic Policy Challenges for the Next Years and Decades,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-48039-4_4,
,general,wagner-helmut,Helmut Wagner,2025,chapter,Der Reformkurs Xi Jinpings,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-46816-3_3,
,general,wagner-helmut,Helmut Wagner,2025,chapter,Der Weg Chinas zur wirtschaftlichen Weltmacht,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-46816-3_1,
,general,wagner-helmut,Helmut Wagner,2025,chapter,For Further Reading: Explanations and References,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-48039-4_7,
,general,wagner-helmut,Helmut Wagner,2025,chapter,Growth Slowdown and Rising Geopolitical Tensions with the West,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-48039-4_2,
,general,wagner-helmut,Helmut Wagner,2025,chapter,Where is China Heading? Alternative Scenarios and Implications,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-48039-4_5,
,general,wagner-helmut,Helmut Wagner,2025,chapter,Wohin steuert China? Alternative Szenarien und Implikationen,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-46816-3_5,
,general,wagner-helmut,Helmut Wagner,2025,chapter,Xi Jinping’s Reform Course,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-48039-4_3,
,general,wagner-helmut,Helmut Wagner,2025,chapter,Zur Vertiefung: Erläuterungen und Literaturhinweise,China: Quo Vadis?,Helmut Wagner,10.1007/978-3-658-46816-3_7,
x,monetary,wagner-helmut,Helmut Wagner,2024,article,Inflation and inequality: new evidence from a dynamic panel threshold analysis,International Economics and Economic Policy 21(2),Linda Glawe · Helmut Wagner,10.1007/s10368-023-00580-x,
,general,wagner-helmut,Helmut Wagner,2023,article,NEW EVIDENCE ON THE HUMAN CAPITAL DYNAMICS WITHIN CHINA: IS THERE A HUMAN CAPITAL TRAP?,The Singapore Economic Review,LINDA GLAWE · HELMUT WAGNER,10.1142/s0217590823500145,
,evolutionary,wagner-helmut,Helmut Wagner,2023,article,The “Double Trap” in China—Multiple Equilibria in Institutions and Income and their Causal Relationship,Open Economies Review 34(3),Linda Glawe · Helmut Wagner,10.1007/s11079-022-09693-3,
,general,wagner-helmut,Helmut Wagner,2022,article,"Trajectories to high income: Comparing the growth dynamics in China, South Korea, and Japan with cointegrated VAR models",Structural Change and Economic Dynamics 62,Michael Murach · Helmut Wagner · Jungsuk Kim · Donghyun Park,10.1016/j.strueco.2022.06.007,
,evolutionary,wagner-helmut,Helmut Wagner,2022,chapter,New Evidence on the Impact of Institutions on Economic Development in China,"Transformations in Banking, Finance and Regulation",Linda Glawe · Helmut Wagner,10.1142/9781800611238_0007,
,general,wagner-helmut,Helmut Wagner,2022,article,Is schooling the same as learning? – The impact of the learning-adjusted years of schooling on growth in a dynamic panel data framework,World Development 151,Linda Glawe · Helmut Wagner,10.1016/j.worlddev.2021.105773,
,evolutionary,wagner-helmut,Helmut Wagner,2021,article,"Convergence, divergence, or multiple steady states? New evidence on the institutional development within the European Union",Journal of Comparative Economics 49(3),Linda Glawe · Helmut Wagner,10.1016/j.jce.2021.01.006,
,general,wagner-helmut,Helmut Wagner,2021,article,Divergence Tendencies in the European Integration Process: A Danger for the Sustainability of the E(M)U?,Journal of Risk and Financial Management 14(3),Linda Glawe · Helmut Wagner,10.3390/jrfm14030104,
,general,wagner-helmut,Helmut Wagner,2021,article,China’s “Political-Economy Trilemma”: (How) Can it be Solved?,The Chinese Economy 54(5),Helmut Wagner,10.1080/10971475.2021.1875158,
x,monetary,wagner-helmut,Helmut Wagner,2021,article,The effects of external shocks on the business cycle in China: A structural change perspective,Review of International Economics 29(3),Michael Murach · Helmut Wagner,10.1111/roie.12527,
,general,wagner-helmut,Helmut Wagner,2021,chapter,Conclusions,The Economic Rise of East Asia,Linda Glawe · Helmut Wagner,10.1007/978-3-030-87128-4_7,
,general,wagner-helmut,Helmut Wagner,2021,chapter,Current Challenges,The Economic Rise of East Asia,Linda Glawe · Helmut Wagner,10.1007/978-3-030-87128-4_6,
,general,wagner-helmut,Helmut Wagner,2021,chapter,Introduction,The Economic Rise of East Asia,Linda Glawe · Helmut Wagner,10.1007/978-3-030-87128-4_1,
,general,wagner-helmut,Helmut Wagner,2021,chapter,Japan’s Catching-Up Process,The Economic Rise of East Asia,Linda Glawe · Helmut Wagner,10.1007/978-3-030-87128-4_2,
,general,wagner-helmut,Helmut Wagner,2021,chapter,South Korea’s Catching-Up Process,The Economic Rise of East Asia,Linda Glawe · Helmut Wagner,10.1007/978-3-030-87128-4_3,
,general,wagner-helmut,Helmut Wagner,2021,book,The Economic Rise of East Asia,Contributions to Economics,Linda Glawe · Helmut Wagner,10.1007/978-3-030-87128-4,
,general,wagner-helmut,Helmut Wagner,2021,chapter,The Rise of China,The Economic Rise of East Asia,Linda Glawe · Helmut Wagner,10.1007/978-3-030-87128-4_4,
,general,wagner-helmut,Helmut Wagner,2021,article,Divergence Tendencies in the European Integration Process: A Danger for the Sustainability of the E(M)U?,SSRN Electronic Journal,Helmut Wagner · Linda Glawe,10.2139/ssrn.3782742,
,general,wagner-helmut,Helmut Wagner,2020,article,The Middle-Income Trap 2.0: The Increasing Role of Human Capital in the Age of Automation and Implications for Developing Asia,Asian Economic Papers 19(3),Linda Glawe · Helmut Wagner,10.1162/asep_a_00783,
,general,wagner-helmut,Helmut Wagner,2020,chapter,Evolution aus makroökonomischer Perspektive,Ökonomie und Evolution.,Helmut Wagner,10.2307/j.ctv24q53km.6,
,monetary,wagner-helmut,Helmut Wagner,2020,article,Comments on Toward an Asian Monetary Fund: Ideas for Transition,Asian Economic Papers 19(2),Helmut Wagner,10.1162/asep_a_00758,
,evolutionary,wagner-helmut,Helmut Wagner,2020,article,The role of institutional quality and human capital for economic growth across Chinese provinces – a dynamic panel data approach,Journal of Chinese Economic and Business Studies 18(3),Linda Glawe · Helmut Wagner,10.1080/14765284.2020.1755140,
,general,wagner-helmut,Helmut Wagner,2020,article,China in the middle-income trap?,China Economic Review 60,Linda Glawe · Helmut Wagner,10.1016/j.chieco.2019.01.003,
,evolutionary,wagner-helmut,Helmut Wagner,2020,article,"Convergence, Divergence, or Multiple Steady States? New Evidence on the Institutional Development Within the European Union",SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.3629519,
,general,wagner-helmut,Helmut Wagner,2020,article,New Evidence on the Human Capital Dynamics Within China - Is There a Human Capital Trap?,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.3769430,
,general,wagner-helmut,Helmut Wagner,2019,article,The deep determinants of economic development in China—a provincial perspective,Journal of the Asia Pacific Economy 24(4),Linda Glawe · Helmut Wagner,10.1080/13547860.2019.1636610,
,evolutionary,wagner-helmut,Helmut Wagner,2019,article,Institutional convergence in Europe,Economics 13(1),Nina Schönfelder · Helmut Wagner,10.5018/economics-ejournal.ja.2019-3,
,general,wagner-helmut,Helmut Wagner,2019,article,On the (Non-)sustainability of China’s Development Strategies1,The Chinese Economy 52(1),Helmut Wagner,10.1080/10971475.2019.1580822,
,monetary,wagner-helmut,Helmut Wagner,2019,article,Positive trend inflation and the Phillips curve – A tale of two slopes and various impulse responses,The North American Journal of Economics and Finance 47,Katrin Heinrichs · Helmut Wagner,10.1016/j.najef.2018.03.003,
,general,wagner-helmut,Helmut Wagner,2019,article,A System-Theoretical Discussion of the (Non-)Sustainability of Development Strategies,SSRN Electronic Journal,Denis Stijepic · Helmut Wagner,10.2139/ssrn.3317576,
,general,wagner-helmut,Helmut Wagner,2019,article,Schooling is Not Learning - the Impact of the Learning-Adjusted Years of Schooling on Growth in a Dynamic Panel Data Framework,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.3640242,
,evolutionary,wagner-helmut,Helmut Wagner,2019,article,The Role of Institutional Quality for Economic Growth in Europe,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.3375215,
,evolutionary,wagner-helmut,Helmut Wagner,2019,article,The ‘Double Trap’ in China – Multiple Equilibria in Institutions and Income and Their Causal Relationship,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.3719951,
,general,wagner-helmut,Helmut Wagner,2018,article,The Deep Determinants of Economic Development in China   A Provincial Perspective,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.3158586,
,general,wagner-helmut,Helmut Wagner,2017,article,How severe will the growth slowdown in China caused by the structural change be? An evaluation based on experiences from Japan and South Korea,Journal of Chinese Economic and Business Studies 15(3),Michael Murach · Helmut Wagner,10.1080/14765284.2017.1346930,
,general,wagner-helmut,Helmut Wagner,2017,article,HOUSING MARKET BOOM-BUST CYCLES � EVIDENCE FROM A VARYING MINIMUM CYCLE LENGTH,Journal of International Business and Economics 17(2),Martin Kern · Helmut Wagner,10.18374/jibe-17-2.2,
,general,wagner-helmut,Helmut Wagner,2017,article,The building up of new imbalances in China: the dilemma with ‘rebalancing’,International Economics and Economic Policy 14(4),Helmut Wagner,10.1007/s10368-016-0360-4,
,general,wagner-helmut,Helmut Wagner,2017,article,A Stylized Model of China's Growth Since 1978,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.2917433,
,general,wagner-helmut,Helmut Wagner,2017,article,On Cross-System Interactions and the Sustainability of (Economic) Development,SSRN Electronic Journal,Denis Stijepic · Helmut Wagner,10.2139/ssrn.3082438,
,general,wagner-helmut,Helmut Wagner,2017,article,On the (Non-)Sustainability of China's Development Strategies,SSRN Electronic Journal,Helmut Wagner,10.2139/ssrn.2946768,
,general,wagner-helmut,Helmut Wagner,2017,article,The Deep Determinants at More Subtle Stages of Development   The Example of the Middle-Income Trap Phenomenon,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.3085417,
,general,wagner-helmut,Helmut Wagner,2017,article,The Deep Determinants of the Middle-Income Trap,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.3085293,
,general,wagner-helmut,Helmut Wagner,2016,article,"The Middle-Income Trap: Definitions, Theories and Countries Concerned—A Literature Survey",Comparative Economic Studies 58(4),Linda Glawe · Helmut Wagner,10.1057/s41294-016-0014-0,
,evolutionary,wagner-helmut,Helmut Wagner,2016,article,Impact of European Integration on Institutional Development,Journal of Economic Integration 31(3),Nina Schönfelder · Helmut Wagner,10.11130/jei.2016.31.3.472,
,general,wagner-helmut,Helmut Wagner,2016,article,China in the Middle-Income Trap?,SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.2830439,
